Item Name,Qty,Price (total) (USD),Item link,Notes
Mini toggle switches,1,$1.96,https://nl.aliexpress.com/item/1005009714438836.html?spm=a2g0o.productlist.main.1.5d1531cfiJh3wV&algo_pvid=def5f9fd-ac95-49fe-9be0-5bab3b1ac9a7&algo_exp_id=def5f9fd-ac95-49fe-9be0-5bab3b1ac9a7-0&pdp_ext_f=%7B%22order%22%3A%2225005%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.83%212.27%21%21%2132.21%2115.14%21%402161390617889496089666346e0f38%2112000049933523467%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=ziH3Rc3Uxdie&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009714438836%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,Turns off and on
Piezo Buzzer,1,$1.28,https://nl.aliexpress.com/item/1005006260328559.html?spm=a2g0o.productlist.main.5.3ee6259ezQPGvT&algo_pvid=0e48552b-1599-4e43-a5ef-360a4a2c828b&algo_exp_id=0e48552b-1599-4e43-a5ef-360a4a2c828b-4&pdp_ext_f=%7B%22order%22%3A%221040%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.28%211.28%21%21%211.28%211.28%21%400b884a9917889496727142118e0fba%2112000036509108003%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=gZ5Tly8QahVs&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006260328559%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,Little speaker thingy
Proximity sensor,1,$8.23,https://nl.aliexpress.com/item/32826218456.html?spm=a2g0o.productlist.main.10.52cf4585fOXlEp&algo_pvid=8f2bbab7-8ab7-40d4-ab9d-7d8738473681&algo_exp_id=8f2bbab7-8ab7-40d4-ab9d-7d8738473681-9&pdp_ext_f=%7B%22order%22%3A%22119%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.94%217.94%21%21%217.94%217.94%21%4021038c6f17889497669885431e0fe8%2112000052653173944%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=EPznFsswi25C&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32826218456%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,So it doesn't fall of my desk
Joystick,1,$1.53,https://nl.aliexpress.com/item/1005009084162024.html?spm=a2g0o.productlist.main.3.799d411b8YF6uH&algo_pvid=d8faad14-57c5-4e74-8db3-d5c52b3a4b23&algo_exp_id=d8faad14-57c5-4e74-8db3-d5c52b3a4b23-2&pdp_ext_f=%7B%22order%22%3A%222257%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.18%211.53%21%21%2121.20%2110.18%21%400b8848e317889499874543138e0f82%2112000047853514553%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=ocyWGnLIc0t1&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009084162024%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,Controlling the driving
Tactile push buttons,1,$3.09,https://nl.aliexpress.com/item/1005010250517734.html?spm=a2g0o.productlist.main.5.3829hPA1hPA1Ng&algo_pvid=9c90c250-77e5-419d-91e5-af78b1cc6462&algo_exp_id=9c90c250-77e5-419d-91e5-af78b1cc6462-4&pdp_ext_f=%7B%22order%22%3A%22122%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.19%213.09%21%21%2141.29%2120.64%21%402103842a17889500380813829e0fde%2112000051678663887%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=KOhj3FBjtkTR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010250517734%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,Controlling the screen (need 5 total but more is fine)
PCB Grid,1,$3.09,https://nl.aliexpress.com/item/1005012081960571.html?spm=a2g0o.productlist.main.1.1e96qND9qND9WY&algo_pvid=ed9911f4-19f6-43cd-bd09-953dd821302e&algo_exp_id=ed9911f4-19f6-43cd-bd09-953dd821302e-0&pdp_ext_f=%7B%22order%22%3A%22396%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.47%211.47%21%21%219.80%219.80%21%40210398e917889501056957085e0dab%2112000057477718544%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=iZ9eDYLp6nEg&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005012081960571%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,"the 8x12 version, for the circuits"
Dupont jumper cables,1,$3.39,https://nl.aliexpress.com/item/1005002349042216.html?spm=a2g0o.productlist.main.1.233eWUuaWUuaPl&algo_pvid=e96a31a4-1ef2-493a-9e96-83321103fe90&algo_exp_id=e96a31a4-1ef2-493a-9e96-83321103fe90-0&pdp_ext_f=%7B%22order%22%3A%222801%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.71%211.79%21%21%212.71%211.79%21%400b0fe40d17889502045575242e0db9%2112000020225751906%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=Tp6V7W8U8ILQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002349042216%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,"10cm 3 kinds 120pc, for prototypes and wiring"
Standoffs Screws Nuts,1,$5.88,https://nl.aliexpress.com/item/32862529967.html?spm=a2g0o.productlist.main.7.7f8bB0nxB0nxac&algo_pvid=510e7aa8-a39d-4a72-9241-3cb72526dc40&algo_exp_id=510e7aa8-a39d-4a72-9241-3cb72526dc40-6&pdp_ext_f=%7B%22order%22%3A%223159%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.14%215.02%21%21%215.14%215.02%21%40210393bd17889728221092573e0c82%2110000000197494047%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=y46Ye0QLk537&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32862529967%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,200 pcs m3 mix
Soldering wire (covered),1,$2.70,https://nl.aliexpress.com/item/1005011849498412.html?spm=a2g0o.productlist.main.32.64b5n5UBn5UBR0&algo_pvid=a08df314-bec6-4e91-837f-047e7ea01801&algo_exp_id=a08df314-bec6-4e91-837f-047e7ea01801-29&pdp_ext_f=%7B%22order%22%3A%2267%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.62%212.70%21%21%2137.51%2118.00%21%4021038a9c17889729118055899e0c90%2112000057033835586%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=UZydXUZqhQOX&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011849498412%7C_p_origin_prod%3A,black
Soldering equipment,1,$12.49,https://nl.aliexpress.com/item/1005009462507947.html?spm=a2g0o.productlist.main.10.3ea15389odYL2f&algo_pvid=97af938a-477f-45b5-927b-85b6755130b8&algo_exp_id=97af938a-477f-45b5-927b-85b6755130b8-9&pdp_ext_f=%7B%22order%22%3A%224386%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2126.03%2112.49%21%21%21173.66%2183.36%21%400b88489417889730326027983e0f53%2112000049183339778%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=n8iWdHuTobIU&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009462507947%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,permanence
Fume extractor,1,$33.50,https://nl.aliexpress.com/item/1005011999277287.html?spm=a2g0o.productlist.main.11.132271cbHx2X7f&algo_pvid=66540ead-54d5-44d8-8c58-9ede656896e8&algo_exp_id=66540ead-54d5-44d8-8c58-9ede656896e8-10&pdp_ext_f=%7B%22order%22%3A%224%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2135.26%2133.50%21%21%21235.21%21223.45%21%4021038b2f17889732570174986e0d9c%2112000057241417052%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=NxtMP6LmOcHY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011999277287%7C_p_origin_prod%3A,Extractor
Soldering wire rosin,1,$8.68,https://nl.aliexpress.com/item/1005009105523060.html?spm=a2g0o.productlist.main.1.bed9i4Fki4FkcE&algo_pvid=e494549b-85ce-4c48-9742-83bb8a3fa6f5&algo_exp_id=e494549b-85ce-4c48-9742-83bb8a3fa6f5-0&pdp_ext_f=%7B%22order%22%3A%224064%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%218.68%218.68%21%21%2157.93%2157.93%21%40210382de17889733378262331e112a%2112000050855918958%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=AzN4WqTxwaiu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009105523060%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,melting
Rosin paste,1,$2.48,https://nl.aliexpress.com/item/1005008582554387.html?spm=a2g0o.productlist.main.1.53765e7cYbtO5W&algo_pvid=ae0f3904-cb65-4f42-b800-380f9cb882b2&algo_exp_id=ae0f3904-cb65-4f42-b800-380f9cb882b2-0&pdp_ext_f=%7B%22order%22%3A%2224993%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.95%212.48%21%21%2133.01%2116.50%21%400b0fe0e117889733915626670e0e68%2112000045827982968%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=aguEYEPl40NL&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008582554387%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,soldering
Heat shrink case,1,$2.58,https://nl.aliexpress.com/item/1005001536945438.html?spm=a2g0o.productlist.main.2.5f755622jlzm7a&algo_pvid=60de2bd0-50b0-4135-a8ad-dfe3529c4963&algo_exp_id=60de2bd0-50b0-4135-a8ad-dfe3529c4963-1&pdp_ext_f=%7B%22order%22%3A%2210265%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.30%212.30%21%21%212.30%212.30%21%400b0fe32e17889734603128815e0e92%2112000016507963226%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=nWX0LPYPnYVZ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001536945438%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,5m diameter 1mm
Docking station,1,$9.86,https://nl.aliexpress.com/item/1005008877015391.html?spm=a2g0o.productlist.main.11.52f867a7uffWTZ&algo_pvid=c3b97a57-7214-4e58-bef1-76eabafbea7b&algo_exp_id=c3b97a57-7214-4e58-bef1-76eabafbea7b-10&pdp_ext_f=%7B%22order%22%3A%22732%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.90%216.38%21%21%2146.00%2142.54%21%400b88ab7917889740773791052e0e12%2112000047074041581%21sea%21NL%214812450678%21X%211%210%21n_tag%3A-29919%3Bd%3Afb85f55e%3Bm03_new_user%3A-29895&curPageLogUid=8JGtMKn1TLy6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008877015391%7C_p_origin_prod%3A&tblci=GiALkmP2KFzh9iKKmkiryOj1R6kGFGCcAalDnXhuJ9UK2iDA9m4o3JaS6rK1xP0OMJ_bXg,"connect to monitor for CAD, 6 in 1 type c"
,,,,
Total Price (USD): ,152.21,,,
